dataset_name,config_name,description,number_entities,entities,entities_count,passages_count,passages_char_count,mean_passages_char_count,number_splits,splits
mantra_gsc,mantra_gsc_nl_emea_bigbio_kb,"We selected text units from different parallel corpora (Medline abstract titles, drug labels, biomedical patent claims)
in English, French, German, Spanish, and Dutch. Three annotators per language independently annotated the biomedical
concepts, based on a subset of the Unified Medical Language System and covering a wide range of semantic groups.
",0,,0,0,0,0,0,
mantra_gsc,mantra_gsc_nl_medline_bigbio_kb,"We selected text units from different parallel corpora (Medline abstract titles, drug labels, biomedical patent claims)
in English, French, German, Spanish, and Dutch. Three annotators per language independently annotated the biomedical
concepts, based on a subset of the Unified Medical Language System and covering a wide range of semantic groups.
",10,"PROC, GEOG, DEVI, CHEM, PHEN, LIVB, PHYS, DISO, ANAT, OBJC",243,100,6343,63.43,1,train
mantra_gsc,mantra_gsc_en_emea_bigbio_kb,"We selected text units from different parallel corpora (Medline abstract titles, drug labels, biomedical patent claims)
in English, French, German, Spanish, and Dutch. Three annotators per language independently annotated the biomedical
concepts, based on a subset of the Unified Medical Language System and covering a wide range of semantic groups.
",0,,0,0,0,0,0,
mantra_gsc,mantra_gsc_en_medline_bigbio_kb,"We selected text units from different parallel corpora (Medline abstract titles, drug labels, biomedical patent claims)
in English, French, German, Spanish, and Dutch. Three annotators per language independently annotated the biomedical
concepts, based on a subset of the Unified Medical Language System and covering a wide range of semantic groups.
",14,"PROC, Research Device, GEOG, Manufactured Object, DEVI, Mental or Behavioral Dysfunction, CHEM, PHEN, LIVB, PHYS, DISO, ANAT, OBJC, Research Activity",1177,400,27822,69.555,1,train
mantra_gsc,mantra_gsc_en_patents_bigbio_kb,"We selected text units from different parallel corpora (Medline abstract titles, drug labels, biomedical patent claims)
in English, French, German, Spanish, and Dutch. Three annotators per language independently annotated the biomedical
concepts, based on a subset of the Unified Medical Language System and covering a wide range of semantic groups.
",10,"PROC, Amino Acid, Peptide, or Protein|Enzyme|Receptor, DEVI, CHEM, PHEN, LIVB, PHYS, DISO, ANAT, OBJC",353,50,16141,322.82,1,train
medmentions,medmentions_full_bigbio_kb,"MedMentions is a new manually annotated resource for the recognition of biomedical concepts.
What distinguishes MedMentions from other annotated biomedical corpora is its size (over 4,000
abstracts and over 350,000 linked mentions), as well as the size of the concept ontology (over
3 million concepts from UMLS 2017) and its broad coverage of biomedical disciplines.

Corpus: The MedMentions corpus consists of 4,392 papers (Titles and Abstracts) randomly selected
from among papers released on PubMed in 2016, that were in the biomedical field, published in
the English language, and had both a Title and an Abstract.

Annotators: We recruited a team of professional annotators with rich experience in biomedical
content curation to exhaustively annotate all UMLS® (2017AA full version) entity mentions in
these papers.

Annotation quality: We did not collect stringent IAA (Inter-annotator agreement) data. To gain
insight on the annotation quality of MedMentions, we randomly selected eight papers from the
annotated corpus, containing a total of 469 concepts. Two biologists ('Reviewer') who did not
participate in the annotation task then each reviewed four papers. The agreement between
Reviewers and Annotators, an estimate of the Precision of the annotations, was 97.3%.
",54,"T170, T060, T044, T167, T121, T126, T109, UnknownType, T123, T040, T100, T067, T184, T037, T070, T081, T201, T169, T052, T129, T028, T043, T101, T048, T047, T114, T061, T058, T002, T023, T007, T098, T078, T046, T045, T196, T074, T077, T097, T062, T025, T073, T041, T059, T032, T083, T033, T079, T082, T204, T191, T080, T116, T015",385098,8784,6945085,790.6517531876138,3,"train, test, validation"
medmentions,medmentions_st21pv_bigbio_kb,"MedMentions is a new manually annotated resource for the recognition of biomedical concepts.
What distinguishes MedMentions from other annotated biomedical corpora is its size (over 4,000
abstracts and over 350,000 linked mentions), as well as the size of the concept ontology (over
3 million concepts from UMLS 2017) and its broad coverage of biomedical disciplines.

Corpus: The MedMentions corpus consists of 4,392 papers (Titles and Abstracts) randomly selected
from among papers released on PubMed in 2016, that were in the biomedical field, published in
the English language, and had both a Title and an Abstract.

Annotators: We recruited a team of professional annotators with rich experience in biomedical
content curation to exhaustively annotate all UMLS® (2017AA full version) entity mentions in
these papers.

Annotation quality: We did not collect stringent IAA (Inter-annotator agreement) data. To gain
insight on the annotation quality of MedMentions, we randomly selected eight papers from the
annotated corpus, containing a total of 469 concepts. Two biologists ('Reviewer') who did not
participate in the annotation task then each reviewed four papers. The agreement between
Reviewers and Annotators, an estimate of the Precision of the annotations, was 97.3%.
",21,"T170, T022, T037, T103, T038, T201, T031, T017, T058, T092, T007, T098, T074, T097, T062, T168, T091, T033, T082, T005, T204",203282,8784,6945085,790.6517531876138,3,"train, test, validation"
mirna,mirna_bigbio_kb,"The corpus consists of 301 Medline citations. The documents were screened for
mentions of miRNA in the abstract text. Gene, disease and miRNA entities were manually
annotated. The corpus comprises of two separate files, a train and a test set, coming
from 201 and 100 documents respectively. 
",0,,0,0,0,0,0,
mlee,mlee_bigbio_kb,"MLEE is an event extraction corpus consisting of manually annotated abstracts of papers
on angiogenesis. It contains annotations for entities, relations, events and coreferences
The annotations span molecular, cellular, tissue, and organ-level processes.
",16,"Drug_or_compound, Cellular_component, Organ, Organism, Tissue, Multi-tissue_structure, Anatomical_system, Organism_subdivision, DNA_domain_or_region, Immaterial_anatomical_entity, Organism_substance, Developing_anatomical_structure, Gene_or_gene_product, Cell, Protein_domain_or_region, Pathological_formation",8291,262,402344,1535.6641221374045,3,"train, validation, test"
muchmore,muchmore_bigbio_kb,"The corpus used in the MuchMore project is a parallel corpus of English-German scientific
medical abstracts obtained from the Springer Link web site. The corpus consists
approximately of 1 million tokens for each language. Abstracts are from 41 medical
journals, each of which constitutes a relatively homogeneous medical sub-domain (e.g.
Neurology, Radiology, etc.). The corpus of downloaded HTML documents is normalized in
various ways, in order to produce a clean, plain text version, consisting of a title, abstract
and keywords. Additionally, the corpus was aligned on the sentence level.

Automatic (!) annotation includes: Part-of-Speech; Morphology (inflection and
decomposition); Chunks; Semantic Classes (UMLS: Unified Medical Language System,
MeSH: Medical Subject Headings, EuroWordNet); Semantic Relations from UMLS.
",1,umlsterm,345838,15630,16009519,1024.2814459373,1,train
muchmore,muchmore_en_bigbio_kb,"The corpus used in the MuchMore project is a parallel corpus of English-German scientific
medical abstracts obtained from the Springer Link web site. The corpus consists
approximately of 1 million tokens for each language. Abstracts are from 41 medical
journals, each of which constitutes a relatively homogeneous medical sub-domain (e.g.
Neurology, Radiology, etc.). The corpus of downloaded HTML documents is normalized in
various ways, in order to produce a clean, plain text version, consisting of a title, abstract
and keywords. Additionally, the corpus was aligned on the sentence level.

Automatic (!) annotation includes: Part-of-Speech; Morphology (inflection and
decomposition); Chunks; Semantic Classes (UMLS: Unified Medical Language System,
MeSH: Medical Subject Headings, EuroWordNet); Semantic Relations from UMLS.
",1,umlsterm,233242,7822,7583968,969.5689082076195,1,train
muchmore,muchmore_de_bigbio_kb,"The corpus used in the MuchMore project is a parallel corpus of English-German scientific
medical abstracts obtained from the Springer Link web site. The corpus consists
approximately of 1 million tokens for each language. Abstracts are from 41 medical
journals, each of which constitutes a relatively homogeneous medical sub-domain (e.g.
Neurology, Radiology, etc.). The corpus of downloaded HTML documents is normalized in
various ways, in order to produce a clean, plain text version, consisting of a title, abstract
and keywords. Additionally, the corpus was aligned on the sentence level.

Automatic (!) annotation includes: Part-of-Speech; Morphology (inflection and
decomposition); Chunks; Semantic Classes (UMLS: Unified Medical Language System,
MeSH: Medical Subject Headings, EuroWordNet); Semantic Relations from UMLS.
",1,umlsterm,112596,7808,8425551,1079.0920850409836,1,train
mutation_finder,mutation_finder_bigbio_kb,"Gold standard corpus for mutation extraction systems consisting of 1515 human-annotated mutation mentions in 813
MEDLINE abstracts. This corpus is divided into development and test subsets. Interannotator agreement on this corpus,
judged on fifty abstracts, was 94%.
",1,variant,1457,1591,1141857,717.6976744186046,2,"validation, test"
n2c2_2006_deid,n2c2_2006_deid_bigbio_kb,"The data for the de-identification challenge came from Partners Healthcare and
included solely medical discharge summaries. We prepared the data for the
challengeby annotating and by replacing all authentic PHI with realistic
surrogates.

Given the above definitions, we marked the authentic PHI in the records in two stages.
In the first stage, we used an automatic system.31 In the second stage, we validated
the output of the automatic system manually. Three annotators, including undergraduate
and graduate students and a professor, serially made three manual passes over each record.
They marked and discussed the PHI tags they disagreed on and finalized these tags
after discussion.

The original dataset does not have spans for each entity. The spans are
computed in this loader and the final text that correspond with the
tags is preserved  in the source format
",0,,0,0,0,0,0,
n2c2_2009,n2c2_2009_bigbio_kb,"The Third i2b2 Workshop on Natural Language Processing Challenges for Clinical Records
focused on the identification of medications, their dosages, modes (routes) of administration,
frequencies, durations, and reasons for administration in discharge summaries.
The third i2b2 challenge—that is, the medication challenge—extends information
extraction to relation extraction; it requires extraction of medications and
medication-related information followed by determination of which medication
belongs to which medication-related details.

The medication challenge was designed as an information extraction task.
The goal, for each discharge summary, was to extract the following information
on medications experienced by the patient:
1. Medications (m): including names, brand names, generics, and collective names of prescription substances,
over the counter medications, and other biological substances for which the patient is the experiencer.
2. Dosages (do): indicating the amount of a medication used in each administration.
3. Modes (mo): indicating the route for administering the medication.
4. Frequencies (f): indicating how often each dose of the medication should be taken.
5. Durations (du): indicating how long the medication is to be administered.
6. Reasons (r): stating the medical reason for which the medication is given.
7. Certainty (c): stating whether the event occurs. Certainty can be expressed by uncertainty words,
e.g., “suggested”, or via modals, e.g., “should” indicates suggestion.
8. Event (e): stating on whether the medication is started, stopped, or continued.
9. Temporal (t): stating whether the medication was administered in the past,
is being administered currently, or will be administered in the future, to the extent
that this information is expressed in the tense of the verbs and auxiliary verbs used to express events.
10. List/narrative (ln): indicating whether the medication information appears in a
list structure or in narrative running text in the discharge summary.

The medication challenge asked that systems extract the text corresponding to each of the fields
for each of the mentions of the medications that were experienced by the patients.

The values for the set of fields related to a medication mention, if presented within a
two-line window of the mention, were linked in order to create what we defined as an ‘entry’.
If the value of a field for a mention were not specified within a two-line window,
then the value ‘nm’ for ‘not mentioned’ was entered and the offsets were left unspecified.

Since the dataset annotations were crowd-sourced, it contains various violations that are handled
throughout the data loader via means of exception catching or conditional statements. e.g.
annotation: anticoagulation, while in text all words are to be separated by space which
means words at end of sentence will always contain `.` and hence won't be an exact match
i.e. `anticoagulation` != `anticoagulation.` from doc_id: 818404
",0,,0,0,0,0,0,
n2c2_2010,n2c2_2010_bigbio_kb,"The i2b2/VA corpus contained de-identified discharge summaries from Beth Israel
Deaconess Medical Center, Partners Healthcare, and University of Pittsburgh Medical
Center (UPMC). In addition, UPMC contributed de-identified progress notes to the
i2b2/VA corpus. This dataset contains the records from Beth Israel and Partners.

The 2010 i2b2/VA Workshop on Natural Language Processing Challenges for Clinical Records comprises three tasks:
1) a concept extraction task focused on the extraction of medical concepts from patient reports;
2) an assertion classification task focused on assigning assertion types for medical problem concepts;
3) a relation classification task focused on assigning relation types that hold between medical problems,
tests, and treatments.

i2b2 and the VA provided an annotated reference standard corpus for the three tasks.
Using this reference standard, 22 systems were developed for concept extraction,
21 for assertion classification, and 16 for relation classification.
",0,,0,0,0,0,0,
n2c2_2014_deid,n2c2_2014_bigbio_kb,"The 2014 i2b2/UTHealth Natural Language Processing (NLP) shared task featured two tracks.
The first of these was the de-identification track focused on identifying protected health
information (PHI) in longitudinal clinical narratives.

TRACK 1: NER PHI

HIPAA requires that patient medical records have all identifying information removed in order to
protect patient privacy. There are 18 categories of Protected Health Information (PHI) identifiers of the
patient or of relatives, employers, or household members of the patient that must be removed in order
for a file to be considered de-identified.
In order to de-identify the records, each file has PHI marked up. All PHI has an
XML tag indicating its category and type, where applicable. For the purposes of this task,
the 18 HIPAA categories have been grouped into 6 main categories and 25 sub categories
",0,,0,0,0,0,0,
n2c2_2018_track2,n2c2_2018_track2_bigbio_kb,"The National NLP Clinical Challenges (n2c2), organized in 2018, continued the
legacy of i2b2 (Informatics for Biology and the Bedside), adding 2 new tracks and 2
new sets of data to the shared tasks organized since 2006. Track 2 of 2018
n2c2 shared tasks focused on the extraction of medications, with their signature
information, and adverse drug events (ADEs) from clinical narratives.
This track built on our previous medication challenge, but added a special focus on ADEs.

ADEs are injuries resulting from a medical intervention related to a drugs and
can include allergic reactions, drug interactions, overdoses, and medication errors.
Collectively, ADEs are estimated to account for 30% of all hospital adverse
events; however, ADEs are preventable. Identifying potential drug interactions,
overdoses, allergies, and errors at the point of care and alerting the caregivers of
potential ADEs can improve health delivery, reduce the risk of ADEs, and improve health
outcomes.

A step in this direction requires processing narratives of clinical records
that often elaborate on the medications given to a patient, as well as the known
allergies, reactions, and adverse events of the patient. Extraction of this information
from narratives complements the structured medication information that can be
obtained from prescriptions, allowing a more thorough assessment of potential ADEs
before they happen.

The 2018 n2c2 shared task Track 2, hereon referred to as the ADE track,
tackled these natural language processing tasks in 3 different steps,
which we refer to as tasks:
1. Concept Extraction: identification of concepts related to medications,
their signature information, and ADEs
2. Relation Classification: linking the previously mentioned concepts to
their medication  by identifying relations on gold standard concepts
3. End-to-End: building end-to-end systems that process raw narrative text
to discover concepts and find relations of those concepts to their medications

Shared tasks provide a venue for head-to-head comparison of systems developed
for the same task and on the same data, allowing researchers to identify the state
of the art in a particular task, learn from it, and build on it.
",0,,0,0,0,0,0,
ncbi_disease,ncbi_disease_bigbio_kb,"The NCBI disease corpus is fully annotated at the mention and concept level to serve as a research
resource for the biomedical natural language processing community.
",4,"Modifier, SpecificDisease, DiseaseClass, CompositeMention",6881,1584,1014349,640.3718434343434,3,"train, test, validation"
nlm_gene,nlm_gene_bigbio_kb,"NLM-Gene consists of 550 PubMed articles, from 156 journals, and contains more than 15 thousand unique gene names,
corresponding to more than five thousand gene identifiers (NCBI Gene taxonomy). This corpus contains gene annotation
data from 28 organisms. The annotated articles contain on average 29 gene names, and 10 gene identifiers per article.
These characteristics demonstrate that this article set is an important benchmark dataset to test the accuracy of gene
recognition algorithms both on multi-species and ambiguous data. The NLM-Gene corpus will be invaluable for advancing
text-mining techniques for gene identification tasks in biomedical text.
",5,"Other, STARGENE, Gene, Domain, GENERIF",15553,1100,991536,901.3963636363636,2,"train, test"
nlmchem,nlmchem_bigbio_kb,"NLM-Chem corpus consists of 150 full-text articles from the PubMed Central Open Access dataset,
comprising 67 different chemical journals, aiming to cover a general distribution of usage of chemical
names in the biomedical literature.
Articles were selected so that human annotation was most valuable (meaning that they were rich in bio-entities,
and current state-of-the-art named entity recognition systems disagreed on bio-entity recognition.
",1,Chemical,38339,10310,4861074,471.49117361784675,3,"train, test, validation"
osiris,osiris_bigbio_kb,"The OSIRIS corpus is a set of MEDLINE abstracts manually annotated
with human variation mentions. The corpus is distributed under the terms
of the Creative Commons Attribution License
Creative Commons Attribution 3.0 Unported License,
which permits unrestricted use, distribution, and reproduction in any medium,
provided the original work is properly cited (Furlong et al, BMC Bioinformatics 2008, 9:84).
",2,"gene, variant",1230,210,172056,819.3142857142857,1,train
pdr,pdr_bigbio_kb,"
The corpus of plant-disease relation consists of plants and diseases and their relation to PubMed abstract.
The corpus consists of about 2400 plant and disease entities and 300 annotated relations from 179 abstracts.
",0,,0,0,0,0,0,
pico_extraction,pico_extraction_bigbio_kb,"This dataset contains annotations for Participants, Interventions, and Outcomes (referred to as PICO task).
For 423 sentences, annotations collected by 3 medical experts are available.
To get the final annotations, we perform the majority voting.
",3,"participant, intervention, outcome",844,421,60430,143.53919239904988,1,train
progene,progene_bigbio_kb,"The Protein/Gene corpus was developed at the JULIE Lab Jena under supervision of Prof. Udo Hahn.
The executing scientist was Dr. Joachim Wermter.
The main annotator was Dr. Rico Pusch who is an expert in biology.
The corpus was developed in the context of the StemNet project (http://www.stemnet.de/).
",1,progene_text,595140,362270,55683080,153.7060203715461,30,"split_0_validation, split_0_test, split_0_train, split_1_validation, split_1_test, split_1_train, split_2_validation, split_2_test, split_2_train, split_3_validation, split_3_test, split_3_train, split_4_validation, split_4_test, split_4_train, split_5_validation, split_5_test, split_5_train, split_6_validation, split_6_test, split_6_train, split_7_validation, split_7_test, split_7_train, split_8_validation, split_8_test, split_8_train, split_9_validation, split_9_test, split_9_train"
psytar,psytar_bigbio_kb,"The ""Psychiatric Treatment Adverse Reactions"" (PsyTAR) dataset contains 891 drugs
reviews posted by patients on ""askapatient.com"", about the effectiveness and adverse
drug events associated with Zoloft, Lexapro, Cymbalta, and Effexor XR.

This dataset can be used for (multi-label) sentence classification of Adverse Drug
Reaction (ADR), Withdrawal Symptoms (WDs), Sign/Symptoms/Illness (SSIs), Drug
Indications (DIs), Drug Effectiveness (EF), Drug Infectiveness (INF) and Others, as well
as for recognition of 5 different types of named entity (in the categories ADRs, WDs,
SSIs and DIs)
",0,,0,0,0,0,0,
pubtator_central,pubtator_central_sample_bigbio_kb,"PubTator Central (PTC, https://www.ncbi.nlm.nih.gov/research/pubtator/) is a web service for
exploring and retrieving bioconcept annotations in full text biomedical articles. PTC provides
automated annotations from state-of-the-art text mining systems for genes/proteins, genetic
variants, diseases, chemicals, species and cell lines, all available for immediate download. PTC
annotates PubMed (30 million abstracts), the PMC Open Access Subset and the Author Manuscript
Collection (3 million full text articles). Updated entity identification methods and a
disambiguation module based on cutting-edge deep learning techniques provide increased accuracy.
",5,"Chemical, ProteinMutation, Gene, Disease, Species",208,8,19454,2431.75,1,train
pubtator_central,pubtator_central_bigbio_kb,"PubTator Central (PTC, https://www.ncbi.nlm.nih.gov/research/pubtator/) is a web service for
exploring and retrieving bioconcept annotations in full text biomedical articles. PTC provides
automated annotations from state-of-the-art text mining systems for genes/proteins, genetic
variants, diseases, chemicals, species and cell lines, all available for immediate download. PTC
annotates PubMed (30 million abstracts), the PMC Open Access Subset and the Author Manuscript
Collection (3 million full text articles). Updated entity identification methods and a
disambiguation module based on cutting-edge deep learning techniques provide increased accuracy.
",0,,0,0,0,0,0,
scai_chemical,scai_chemical_bigbio_kb,"SCAI Chemical is a corpus of MEDLINE abstracts that has been annotated
to give an overview of the different chemical name classes
found in MEDLINE text.
",9,", FAMILY, MODIFIER, IUPAC, TRIVIALVAR, PARTIUPAC, ABBREVIATION, TRIVIAL, SUM",1320,100,154864,1548.64,1,train
scai_disease,scai_disease_bigbio_kb,"SCAI Disease is a dataset annotated in 2010 with mentions of diseases and
adverse effects. It is a corpus containing 400 randomly selected MEDLINE
abstracts generated using ‘Disease OR Adverse effect’ as a PubMed query. This
evaluation corpus was annotated by two individuals who hold a Master’s degree
in life sciences.
",2,"DISEASE, ADVERSE",2241,400,630193,1575.4825,1,train
seth_corpus,seth_corpus_bigbio_kb,SNP named entity recognition corpus consisting of 630 PubMed citations.,3,"Gene, RS, SNP",3219,630,759824,1206.0698412698412,1,train
spl_adr_200db,spl_adr_200db_train_bigbio_kb,"The United States Food and Drug Administration (FDA) partnered with the National Library
of Medicine to create a pilot dataset containing standardised information about known
adverse reactions for 200 FDA-approved drugs. The Structured Product Labels (SPLs),
the documents FDA uses to exchange information about drugs and other products, were
manually annotated for adverse reactions at the mention level to facilitate development
and evaluation of text mining tools for extraction of ADRs from all SPLs.  The ADRs were
then normalised to the Unified Medical Language System (UMLS) and to the Medical
Dictionary for Regulatory Activities (MedDRA).
",6,"Severity, Factor, DrugClass, Animal, Negation, AdverseReaction",15722,239,1769683,7404.531380753138,1,train
spl_adr_200db,spl_adr_200db_unannotated_bigbio_kb,"The United States Food and Drug Administration (FDA) partnered with the National Library
of Medicine to create a pilot dataset containing standardised information about known
adverse reactions for 200 FDA-approved drugs. The Structured Product Labels (SPLs),
the documents FDA uses to exchange information about drugs and other products, were
manually annotated for adverse reactions at the mention level to facilitate development
and evaluation of text mining tools for extraction of ADRs from all SPLs.  The ADRs were
then normalised to the Unified Medical Language System (UMLS) and to the Medical
Dictionary for Regulatory Activities (MedDRA).
",0,,0,4311,28952558,6715.97262816052,1,train
thomas2011,thomas2011_bigbio_kb,"SNP normalization corpus downloaded from (http://www.scai.fraunhofer.de/snp-normalization-corpus.html).
SNPs are associated with unambiguous dbSNP identifiers.
",2,"Protein Sequence Mutation, Nucleotide Sequence Mutation",527,0,0,0,1,test
tmvar_v1,tmvar_v1_bigbio_kb,"This dataset contains 500 PubMed articles manually annotated with mutation mentions of various kinds. It can be used for NER tasks only.
The dataset is split into train(334) and test(166) splits",3,"ProteinMutation, DNAMutation, SNP",1431,1000,811615,811.615,2,"train, test"
tmvar_v2,tmvar_v2_bigbio_kb,"This dataset contains 158 PubMed articles manually annotated with mutation mentions of various kinds and dbsnp normalizations for each of them.
It can be used for NER tasks and NED tasks, This dataset has a single split",3,"ProteinMutation, DNAMutation, SNP",674,316,258660,818.5443037974684,1,train
tmvar_v3,tmvar_v3_bigbio_kb,"This dataset contains 500 PubMed articles manually annotated with mutation mentions of various kinds and dbsnp normalizations for each of them. 
In addition, it contains variant normalization options such as allele-specific identifiers from the ClinGen Allele Registry
It can be used for NER tasks and NED tasks, This dataset does NOT have splits",10,"['Gene'], ['OtherMutation'], ['DNAMutation'], ['Species'], ['DNAAllele'], ['SNP'], ['ProteinMutation'], ['CellLine'], ['AcidChange'], ['ProteinAllele']",7837,1000,811380,811.38,1,test
twadrl,twadrl_bigbio_kb,"
The TwADR-L dataset contains medical concepts written on social media (Twitter) mapped to how they are formally written in medical ontologies (SIDER 4). ",1,social_media_text,50740,50740,799570,15.758178951517541,30,"train_0, train_1, train_2, train_3, train_4, train_5, train_6, train_7, train_8, train_9, validation_0, validation_1, validation_2, validation_3, validation_4, validation_5, validation_6, validation_7, validation_8, validation_9, test_0, test_1, test_2, test_3, test_4, test_5, test_6, test_7, test_8, test_9"
verspoor_2013,verspoor_2013_bigbio_kb,"This dataset contains annotations for a small corpus of full text journal publications
on the subject of inherited colorectal cancer. It is suitable for Named Entity Recognition and
Relation Extraction tasks. It uses the Variome Annotation Schema,  a schema that aims to
capture the core concepts and relations relevant to cataloguing  and interpreting human
genetic variation and its relationship to disease, as described in the published literature.
The schema was inspired by the needs of the database curators of the International Society
for Gastrointestinal Hereditary Tumours (InSiGHT) database, but is intended to have
application to genetic variation information in a range of diseases.",13,"gene, age, cohort-patient, gender, Disorder, Concepts_Ideas, Physiology, ethnicity, Phenomena, body-part, mutation, disease, size",6991,120,279095,2325.7916666666665,1,train
